,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2015.0,maserati,quattroporte,,,like,28000,8,white,automatic,,salvage,rwd,gas,39995.0
1,2017.0,Hyundai,Elantra,,,excellent,60000,,,automatic,,clean,,gas,8600.0
2,2013.0,Toyota,Tacoma,x-runner,,salvage,34000,6,,manual,,salvage,rwd,gas,29500.0
3,2014.0,Ford,transit,connect,,excellent,140000,4,white,automatic,,salvage,fwd,gas,10400.0
4,1965.0,Volvo,P1800,,,excellent,73600,4,black,manual,coupe,clean,rwd,gas,24000.0
5,2016.0,Ford,mustang,gt,,like,27000,8,red,manual,coupe,clean,rwd,gas,28500.0
6,2013.0,Toyota,prius,hybrid,,,146000,,,automatic,,clean,,gas,6500.0
7,2012.0,chrysler,200,,,good,195505,4,grey,automatic,sedan,clean,fwd,gas,3500.0
8,2015.0,Bmw,535i,m,,excellent,90481,6,white,automatic,sedan,clean,rwd,gas,25000.0
9,2012.0,infiniti,qx56,,,excellent,135000,8,white,automatic,SUV,clean,rwd,gas,13500.0
10,2014.0,nissan,rogue,,,,102003,,,automatic,,clean,,gas,7600.0
11,2008.0,Gmc,sierra,1500,,like,79800,8,,automatic,pickup,clean,rwd,gas,12500.0
12,2015.0,Mini,cooper,,,excellent,21000,3,green,automatic,sedan,salvage,,gas,8499.0
13,2017.0,Mercedes,amg,gt,WDDYJ7HA1HA010277,excellent,34700,8,red,automatic,coupe,clean,rwd,gas,79999.0
14,2001.0,Toyota,camry,le,,,94000,4,,automatic,,clean,,gas,3800.0
15,1955.0,Renault,Dauphine,,,,100,,,other,,missing,,gas,1500.0
16,2004.0,Honda,Element,,5J6YH186X4L006218,good,250000,4,black,automatic,,clean,fwd,gas,3400.0
17,1979.0,chevrolet,corvette,,,excellent,26000,8,black,manual,coupe,clean,rwd,gas,19500.0
18,2014.0,QX80,Infiniti,,,excellent,129000,8,black,automatic,SUV,clean,,gas,23300.0
19,2014.0,Toyota,tacoma,trd,5TFLU4EN2EX108759,excellent,80000,6,grey,automatic,pickup,salvage,4wd,gas,24950.0
20,2003.0,Volkswagen,beetle,,,good,81000,4,white,automatic,hatchback,clean,fwd,gas,4000.0
