,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1952.0,mercury,sedan,,,,1111,,,automatic,sedan,missing,,gas,4500.0
1,2008.0,chevrolet,tahoe,ltz,,,150000,,,automatic,,clean,,gas,9000.0
2,2014.0,Hyundai,Tucson,SE,,like,42240,4,silver,automatic,sedan,clean,,gas,13000.0
3,2003.0,acura,CL,,,,236000,,,automatic,,clean,,gas,1500.0
4,2013.0,Honda,fit,,,excellent,171023,4,grey,automatic,hatchback,clean,fwd,gas,3750.0
5,2018.0,dodge,challenger,sxt,,like,35000,6,grey,automatic,coupe,clean,rwd,gas,25000.0
6,2015.0,Bmw,435i,,WBA3R1C58FK195680,good,104890,6,white,automatic,coupe,clean,rwd,gas,18900.0
7,2008.0,Infiniti,G37S,,,excellent,197400,6,blue,manual,coupe,clean,rwd,gas,9850.0
8,2016.0,Jeep,Wrangler,unlimited,,excellent,103000,6,white,manual,SUV,clean,4wd,gas,31500.0
9,2019.0,Lexus,300h,,JTHB21B10K2026554,new,3890,4,white,manual,sedan,clean,fwd,hybrid,41500.0
10,2004.0,Ford,f-150,,,good,180000,8,black,automatic,truck,clean,,gas,4500.0
11,2000.0,porsche,boxster,s,,like,61256,6,silver,manual,convertible,clean,,gas,15500.0
12,2010.0,Bmw,335xi,awd,,excellent,67600,6,grey,automatic,sedan,clean,4wd,gas,10500.0
14,2007.0,Honda,accord,,,excellent,161000,4,,automatic,,clean,,gas,4800.0
15,2003.0,Bmw,525it,,WBADS43493GE10745,fair,83000,6,green,automatic,wagon,clean,rwd,gas,6750.0
16,2003.0,Mercedes,Benz,g500,,excellent,190122,8,silver,automatic,SUV,clean,4wd,gas,29500.0
17,2013.0,Mini,cooper,clubman,,excellent,104841,4,black,automatic,,clean,fwd,gas,8000.0
18,2007.0,Mazdaspeed,3,,,excellent,95000,4,black,manual,,clean,fwd,gas,7000.0
