,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2006.0,audi,a4,2.0t,WAUKF78E26A129843,good,129000,4,silver,automatic,wagon,salvage,fwd,gas,4000
1,1959.0,Chevrolet,biscane,,,,1000,,,automatic,,clean,,gas,5000
2,2012.0,nissan,altima,2.5,,good,103000,4,,automatic,,clean,,gas,6400
3,2000.0,ford,f250,super,,good,162000,10,green,automatic,truck,clean,4wd,gas,8500
4,2008.0,infiniti,g37,coupe,,good,150000,6,blue,automatic,coupe,clean,rwd,gas,12000
5,2012.0,toyota,highlander,se,,like,148000,4,silver,automatic,SUV,clean,fwd,gas,12000
6,2017.0,kia,optima,lx,,excellent,48074,4,black,automatic,sedan,rebuilt,fwd,gas,11000
7,1999.0,ford,f350,super,,like,210191,8,,manual,,clean,,diesel,14000
8,2017.0,ford,f-350,super,,like,44000,8,white,automatic,,clean,rwd,gas,36000
9,2001.0,jeep,wrangler,,,excellent,187164,6,green,manual,SUV,clean,4wd,gas,13000
10,2015.0,Ford,F-350,,,excellent,79000,8,black,automatic,,clean,4wd,diesel,49000
11,2008.0,ford,focus,,1FAHP35N78W217841,good,161000,4,white,automatic,sedan,clean,fwd,gas,3000
12,2000.0,nissan,frontier,,,good,159000,6,red,manual,,clean,4wd,gas,7000
13,2006.0,Toyota,Matrix,xr,,good,187000,4,,automatic,,salvage,,gas,2900
14,2011.0,kia,sorento,ex,,excellent,201000,6,,automatic,,clean,4wd,gas,5800
15,2006.0,toyota,sienna,xle,,,185000,,,automatic,,clean,,gas,3500
16,2000.0,nissan,xterra,4wd,,fair,139629,6,silver,automatic,SUV,clean,4wd,gas,2500
17,2001.0,toyota,camry,le,,good,198500,4,white,automatic,sedan,clean,fwd,gas,3500
18,2003.0,ford,f150,lariat,,excellent,200000,,,automatic,truck,clean,4wd,gas,8200
19,1992.0,chevy,g30,van,,good,159000,8,white,automatic,van,clean,rwd,gas,5000
20,2003.0,ford,mustang,,,good,172000,6,white,automatic,coupe,clean,rwd,gas,2200
21,1969.0,chevy,c10,truck,,excellent,48563,6,white,manual,truck,clean,rwd,gas,8500
22,2016.0,mazda,6,,,excellent,55000,4,black,automatic,sedan,clean,fwd,gas,14990
23,2005.0,Dodge,Cummins,3500,,,128000,6,,manual,,clean,4wd,diesel,19000
24,2013.0,Ford,f250,,,,106800,,,automatic,,clean,,diesel,39999
25,2009.0,toyota,camry,,,good,139850,4,silver,automatic,sedan,clean,fwd,gas,5800
27,1997.0,toyota,tercel,,,good,379786,4,red,manual,other,clean,fwd,gas,1500
28,2002.0,Doge,Ram,1500,307HU18N62G175449,good,220316,8,blue,automatic,truck,clean,4wd,gas,5500
29,1997.0,ford,f-250,,,excellent,317000,8,white,automatic,truck,clean,rwd,diesel,5000
30,2007.0,toyota,sienna,le,,good,165575,,blue,automatic,mini-van,clean,,gas,5300
31,2014.0,madza,6,,,excellent,95051,4,black,automatic,sedan,clean,fwd,gas,10500
32,2003.0,dodge,ram,1500,,good,196000,8,white,automatic,pickup,clean,4wd,gas,4500
33,2000.0,honda,accord,4-door,,fair,246325,6,yellow,automatic,sedan,missing,fwd,gas,1000
34,2012.0,Toyota,Prius,V,,good,101355,,white,automatic,,clean,,hybrid,10500
35,1985.0,Ford,F250,,,excellent,118750,,,automatic,,clean,rwd,diesel,3000
36,1987.0,Chevy,c-20,,,excellent,72060,8,blue,automatic,,clean,rwd,gas,10000
38,2000.0,chevy,astro,,,fair,222000,6,white,automatic,,clean,rwd,gas,1500
39,1991.0,Dodge,Stealth,,,,57000,6,black,manual,coupe,clean,fwd,gas,4500
40,2003.0,Buick,century,,2G4WS52J831231482,excellent,117244,6,silver,automatic,sedan,clean,rwd,gas,2700
41,2004.0,Toyota,Camry,XLE,,new,182000,6,brown,automatic,sedan,clean,fwd,gas,4700
