,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,1996.0,gmc,1500,savana,,,154543,,,automatic,,salvage,,gas,8200.0
1,1964.0,chevy,nova,,,,30000,,,automatic,,clean,,gas,18000.0
2,2015.0,volkswagen,jetta,,,excellent,79000,,grey,automatic,,clean,,gas,7500.0
3,2003.0,ford,ranger,,,fair,142000,4,white,manual,pickup,clean,rwd,gas,1250.0
4,2002.0,chevy,SS,montecarlo,,good,222000,6,black,automatic,coupe,clean,fwd,gas,3400.0
5,2005.0,saturn,ion,,,excellent,104000,4,grey,automatic,,clean,4wd,gas,3900.0
6,2014.0,bmw,328d,,,like,65672,,,automatic,,clean,,diesel,13200.0
7,2005.0,ford,explorer,xlt,,excellent,188000,8,black,automatic,SUV,clean,,gas,3800.0
8,2000.0,gmc,sierra,1500,,good,170000,,,automatic,,clean,,gas,5300.0
9,1999.0,dodge,grand,caravan,,good,229000,6,green,automatic,,clean,,gas,1500.0
10,2007.0,honda,accord,,1HGCM66547A084319,like,144000,6,grey,automatic,,clean,fwd,gas,4300.0
11,1969.0,Ford,Bronco,,U15FLE19512,fair,98716,8,,manual,,clean,4wd,gas,7550.0
12,2016.0,qx,50,,IN1BJ0RPXGM230978,excellent,40203,6,silver,automatic,SUV,salvage,4wd,gas,11950.0
13,2007.0,toyota,4runner,sr5,,,175000,6,,automatic,,clean,,gas,9800.0
14,1969.0,Ford,Bronco,,U15FLE19512,fair,98716,8,,manual,,clean,4wd,gas,7550.0
15,1969.0,Ford,Bronco,,U15FLE19512,fair,98716,8,,manual,,clean,4wd,gas,7550.0
16,2005.0,honda,accord,lx,,good,156280,4,,automatic,,clean,,gas,2800.0
17,2009.0,MERCEDES,GL450,,,,160000,,,automatic,,clean,,gas,8495.0
18,2006.0,mercedes,benz,e350,,excellent,47000,6,silver,automatic,,salvage,,gas,7900.0
19,2011.0,dodge,ram,1500,,excellent,124000,,white,automatic,,salvage,4wd,gas,12900.0
20,2012.0,vw,jetta,tdi,,,129000,,,automatic,,clean,,diesel,5700.0
21,2000.0,Dodge,Ram,3500,,,61200,,,automatic,van,clean,,gas,11000.0
22,1987.0,chevy,silverado,,,,111111,,,automatic,,clean,,gas,16500.0
23,2011.0,mercedes,benz,e550,,like,134000,8,white,automatic,,clean,,gas,11900.0
24,2019.0,Ford,F-150,f150,,like,38750,6,grey,automatic,,salvage,rwd,gas,25950.0
25,2001.0,bmw,5,series,WBADT63421CF01630,good,188880,6,grey,automatic,sedan,clean,rwd,gas,3995.0
26,1999.0,honda,accord,,,fair,182000,6,green,automatic,coupe,clean,fwd,gas,1500.0
27,1969.0,chevrolet,corvette,,194379S726490,excellent,56000,8,green,manual,coupe,clean,,gas,39900.0
28,2010.0,bmw,328i,,,excellent,114000,6,,manual,,salvage,,gas,7200.0
29,1971.0,VW,Super,Beetle,,good,58000,,red,manual,convertible,clean,,gas,12500.0
30,2005.0,ford,f-250,,,good,310000,8,yellow,automatic,truck,clean,4wd,diesel,9900.0
31,2010.0,Vw,Jetta,,,excellent,115000,,,automatic,,clean,,gas,4500.0
