,year:,make:,model:,trim:,VIN:,condition:,odometer:,cylinders:,color:,transmission:,type:,status:,drive:,fuel:,price:
0,2008.0,Honda,FIT,,,good,101000,4,silver,automatic,hatchback,salvage,fwd,gas,3987.0
1,2015.0,NISSAN,SENTRA,SV,3N1AB7AP4FY280316,good,86600,4,red,automatic,sedan,clean,fwd,gas,6500.0
2,2013.0,nissan,juke,s,,good,81280,4,,automatic,,clean,fwd,gas,7900.0
3,2003.0,BMW,325i,,WBAAZ33403KP80498,good,124600,6,grey,automatic,sedan,clean,fwd,gas,4800.0
4,2005.0,Honda,"Civic,",CNG,1HGEN26595L000592,excellent,54000,4,white,automatic,sedan,clean,fwd,other,4500.0
5,1999.0,isuzu,npr,box,,,178000,,,automatic,,clean,,diesel,4500.0
6,2006.0,BMW,750i,,,excellent,150000,8,black,other,sedan,clean,rwd,gas,7500.0
7,2017.0,tesla,s,p100d,,,30280,,,automatic,,clean,,electric,70998.0
9,2003.0,SAAB,9-5,Aero,,,118000,4,,automatic,,clean,fwd,gas,3900.0
10,2005.0,Lexus,GS,300,,good,188540,6,black,automatic,sedan,clean,rwd,gas,3800.0
11,2018.0,Suburban,4WD,4DR,,excellent,31838,8,black,automatic,SUV,clean,4wd,gas,42000.0
13,2007.0,UD,2200,,,,250000,,,automatic,,clean,,diesel,9500.0
14,2003.0,mazda,protege,,,fair,171000,4,red,automatic,sedan,clean,fwd,gas,625.0
15,2013.0,mercedes,benz,e350,,like,59000,6,silver,automatic,sedan,clean,rwd,gas,15000.0
16,1976.0,CADILLAC,SEVILLE,,,good,22222,8,blue,automatic,sedan,clean,rwd,gas,10000.0
17,2001.0,all,cars,,,fair,318664,4,silver,automatic,sedan,clean,fwd,gas,2350.0
18,2006.0,honda,accord,,,excellent,152689,4,black,automatic,sedan,clean,fwd,gas,4650.0
19,2000.0,porsche,boxster,convertible,WP0CA2988YU621411,excellent,63827,6,blue,automatic,,clean,,gas,11000.0
20,2006.0,Nissan,Altima,SE,1N4BL11D16C197619,excellent,178324,6,grey,automatic,sedan,clean,fwd,gas,2800.0
21,2007.0,honda,accord,,,excellent,79000,4,,automatic,,clean,,gas,5900.0
23,1999.0,toyota,camry,,,good,200000,6,black,automatic,sedan,clean,fwd,gas,2500.0
24,1985.0,gmc,sierra,,1G5EK18H5FF505285,good,145526,8,blue,automatic,SUV,clean,4wd,gas,12500.0
25,2018.0,toyota,prius,ii,,new,33000,4,silver,automatic,sedan,clean,fwd,hybrid,18200.0
26,2009.0,honda,cr-v,,,good,118000,4,,automatic,,salvage,4wd,gas,5500.0
27,2011.0,bmw,328i,convertible,,excellent,77000,6,blue,automatic,convertible,clean,rwd,gas,12000.0
28,2001.0,chevy,express,1500,,fair,249800,8,blue,automatic,van,clean,rwd,gas,2900.0
29,2014.0,Jeep,srt,,,,81000,,,automatic,,clean,,gas,36800.0
30,2016.0,gmc,yukon,xl,,good,85000,8,white,automatic,SUV,clean,4wd,gas,33000.0
31,1998.0,toyota,land,cruiser,JT3HT05J1W0012604,excellent,166000,8,black,automatic,SUV,clean,4wd,gas,16900.0
32,2012.0,mercedes-benz,c-class,c250,,,140322,,,automatic,,clean,,gas,8500.0
33,2006.0,toyota,rav4,limited,,good,201000,4,silver,automatic,SUV,clean,,gas,4950.0
